,gene,abundance_r1tar1,psm_r1tar1,abundance_r1tar2,psm_r1tar2,abundance_r1tar3,psm_r1tar3,abundance_r1tcr1,psm_r1tcr1,abundance_r1tcr2,psm_r1tcr2,abundance_r1tcr3,psm_r1tcr3,abundance_r1wtr1,psm_r1wtr1,abundance_r1wtr2,psm_r1wtr2,abundance_r1wtr3,psm_r1wtr3,abundance_r2tar1,psm_r2tar1,abundance_r2tar2,psm_r2tar2,abundance_r2tar3,psm_r2tar3,abundance_r2tcr1,psm_r2tcr1,abundance_r2tcr2,psm_r2tcr2,abundance_r2tcr3,psm_r2tcr3,abundance_r2wtr1,psm_r2wtr1,abundance_r2wtr2,psm_r2wtr2,abundance_r2wtr3,psm_r2wtr3,abundance_r3tar1,psm_r3tar1,abundance_r3tar2,psm_r3tar2,abundance_r3tar3,psm_r3tar3,abundance_r3tcr1,psm_r3tcr1,abundance_r3tcr2,psm_r3tcr2,abundance_r3tcr3,psm_r3tcr3,abundance_r3wtr1,psm_r3wtr1,abundance_r3wtr2,psm_r3wtr2,abundance_r3wtr3,psm_r3wtr3,ENTREZID,neg_log10_pval_abi_turbo_abundance,qval_abi_turbo_abundance,neg_log10_pval_abi_wt_abundance,qval_abi_wt_abundance,neg_log10_pval_abi_turbo_psm,qval_abi_turbo_psm,neg_log10_pval_abi_wt_psm,qval_abi_wt_psm,two_tailed_neg_log10_pval_abi_turbo_abundance,two_tailed_qval_abi_turbo_abundance,two_tailed_neg_log10_pval_abi_wt_abundance,two_tailed_qval_abi_wt_abundance,two_tailed_neg_log10_pval_abi_turbo_psm,two_tailed_qval_abi_turbo_psm,two_tailed_neg_log10_pval_abi_wt_psm,two_tailed_qval_abi_wt_psm,pval_abi_turbo_abundance,pval_abi_wt_abundance,pval_abi_turbo_psm,pval_abi_wt_psm,two_tailed_pval_abi_turbo_abundance,two_tailed_pval_abi_wt_abundance,two_tailed_pval_abi_turbo_psm,two_tailed_pval_abi_wt_psm,average_abundance_turboabi,average_abundance_turbocontrol,average_abundance_wtcontrol,average_psm_turboabi,average_psm_turbocontrol,average_psm_wtcontrol,ratio_abi_turbo_abundance,ratio_abi_wt_abundance,ratio_abi_turbo_psm,ratio_abi_wt_psm,percentage_abi_turbo_abundance,percentage_abi_wt_abundance,percentage_abi_turbo_psm,percentage_abi_wt_psm,known_interactor,rsd_abi_abundance
1,0610010k14rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700173.8125,1,0,0,0,0,0,0,104457,0.07888472,1,0,1,0,1,0,1,0.478606928,0.59470099,0,1,0,1,0,1,0.833902508,1,1,1,0.332194985,1,1,1,0,77797.09028,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
2,1110004f10rik,0,0,9277990.75,2,353131.7188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263337,1,0,0,19280633,2,19312632,3,0,0,0,0,0,0,0,0,0,0,0,0,2186647.5,1,22940870,2,19793922,1,0,0,0,0,0,0,0,0,56372,0.220447813,1,1.940213436,0.006817156,0.055307604,1,0.779636924,0.211780858,0.099019927,0.88399231,1.63918344,0.012477524,0.621329838,0.291066171,0.478606928,0.361669136,0.601938591,0.011475895,0.880425061,0.166097492,0.796122821,0.02295179,0.239149877,0.332194985,1564567.441,9036450.778,0,0.555555556,0.888888889,0,0.173139596,Inf,0.625,Inf,14.75865251,100,38.46153846,100,FALSE,183.3716909
3,1110005a23rik,0,0,0,0,0,0,7145157,2,4934417.5,1,15617863.5,3,0,0,0,0,0,0,0,0,0,0,0,0,30906234.5,5,22972536.25,4,29993480.25,5,0,0,0,0,0,0,0,0,0,0,0,0,35976271,2,53984836,4,19910860.75,2,0,0,0,0,0,0,0,0,1,0,0.927911796,7.66E-06,1,0,0.809321337,20.11268986,0.000125,0,0.911370114,4.452600677,0.000237154,0,0.832429268,1,1,0.999982362,1,7.71E-21,1,3.53E-05,1,0,24604628.53,0,0,3.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
4,1700001k19rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5178369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66323,0.07888472,1,0,0.928156258,0,0.842253653,0,0.809569913,0.478606928,0.644769114,0,0.911853537,0,0.810018374,0,0.832651287,0.833902508,1,1,1,0.332194985,1,1,1,0,575374.3333,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
5,1700020d05rik,0,0,0,0,0,0,0,0,6711259.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75555,0.07888472,1,0,0.928402977,0,0.842008764,0,0.809830225,0.478606928,0.645013253,0,0.911600666,0,0.810285909,0,0.832878828,0.833902508,1,1,1,0.332194985,1,1,1,0,745695.5,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
6,1700025g04rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217354.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69399,0.779636924,0.744094309,0.779636924,0.17393543,0,0.841766355,0,0.809071635,0.478606928,0.645257576,0.478606928,0.325409236,0,0.810553626,0,0.833639111,0.166097492,0.166097492,1,1,0.332194985,0.332194985,1,1,135261.5972,0,0,0.111111111,0,0,Inf,Inf,Inf,Inf,100,100,100,100,FALSE,282.8427125
7,1700030k09rik,0,0,0,0,818660.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7625715.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72254,1.120691066,0.320139224,1.120691066,0.074764794,0,0.841520584,0,0.811111111,0.819661071,0.275252052,0.819661071,0.136645714,0,0.810828338,0,0.833008881,0.075737146,0.075737146,1,1,0.151474291,0.151474291,1,1,938263.9722,0,0,0.222222222,0,0,Inf,Inf,Inf,Inf,100,100,100,100,FALSE,253.4585807
8,1700069b07rik,0,0,0,0,228729.2188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76613,0.779636924,0.743493095,0.779636924,0.173864208,0,0.841274956,0,0.811369845,0.478606928,0.645502084,0.478606928,0.325538829,0,0.809748299,0,0.833329187,0.166097492,0.166097492,1,1,0.332194985,0.332194985,1,1,25414.35764,0,0,0.111111111,0,0,Inf,Inf,Inf,Inf,100,100,100,100,FALSE,282.8427125
9,1700101e01rik,0,0,0,0,0,0,0,0,3536328.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07888472,1,0,0.928644509,0,0.840784131,0,0.811630035,0.478606928,0.645746778,0,0.911181818,0,0.809207342,0,0.833316792,0.833902508,1,1,1,0.332194985,1,1,1,0,392925.3889,0,0,0.111111111,0,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
10,1810009a15rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384154.406,2,0,0,0,0,66276,0,1,0.07888472,0.958221341,0,0.840538933,0.07888472,0.963844305,0,0.986040574,0.478606928,0.325668526,0,0.809477049,0.478606928,0.361326757,1,0.833902508,1,0.833902508,1,0.332194985,1,0.332194985,0,0,153794.934,0,0,0.222222222,0,0,0,0,0,0,0,0,FALSE,#DIV/0!
